STATION,DATE,MAX,MIN
Station1,2023-09-01,30,15
Station1,2023-09-02,31,16
Station2,2023-09-01,28,14
Station2,2023-09-02,29,15
Station3,2023-09-01,26,12
Station3,2023-09-02,27,13
Station4,2023-09-01,32,17
Station4,2023-09-02,33,18
Station5,2023-09-01,29,15
Station5,2023-09-02,30,16
Station6,2023-09-01,27,13
Station6,2023-09-02,28,14
Station7,2023-09-01,31,16
Station7,2023-09-02,32,17
Station8,2023-09-01,28,14
Station8,2023-09-02,29,15
Station9,2023-09-01,26,12
Station9,2023-09-02,27,13
Station10,2023-09-01,30,15
Station10,2023-09-02,31,16
Station11,2023-09-01,28,14
Station11,2023-09-02,29,15
Station12,2023-09-01,32,17
Station12,2023-09-02,33,18
Station13,2023-09-01,29,15
Station13,2023-09-02,30,16
Station14,2023-09-01,27,13
Station14,2023-09-02,28,14
Station15,2023-09-01,31,16
Station15,2023-09-02,32,17
Station16,2023-09-01,28,14
Station16,2023-09-02,29,15
Station17,2023-09-01,26,12
Station17,2023-09-02,27,13
Station18,2023-09-01,30,15
Station18,2023-09-02,31,16
Station19,2023-09-01,28,14
Station19,2023-09-02,29,15
Station20,2023-09-01,32,17
Station20,2023-09-02,33,18
Station21,2023-09-01,29,15
Station21,2023-09-02,30,16
Station22,2023-09-01,27,13
Station22,2023-09-02,28,14
Station23,2023-09-01,31,16
Station23,2023-09-02,32,17
Station24,2023-09-01,28,14
Station24,2023-09-02,29,15
Station25,2023-09-01,26,12
Station25,2023-09-02,27,13
